SOC_code,Job_title,Standard_going_rate_annual,Lower_going_rate_annual
2419,Patent and trademark attorneys,33400.0,25100
2419,Legal professionals not elsewhere classified,33400.0,25100
2421,Auditors (qualified accountant),49200.0,36900
2421,Financial accountants (qualified),49200.0,36900
2421,Forensic accountants,49200.0,36900
2421,Fund accountants,49200.0,36900
2421,Insolvency practitioners,49200.0,36900
2421,Chartered and certified accountants not elsewhere classified,49200.0,36900
2422,Credit analysts,45800.0,34200
2422,Financial advisers and planners,45800.0,34200
2422,Financial analysts,45800.0,34200
2422,Mortgage advisers,45800.0,34200
2422,Finance and investment analysts and advisers not elsewhere classified,45800.0,34200
2423,Taxation experts,48500.0,35400
2431,Business analysts and consultants,50200.0,36000
2431,Management advisers and consultants,50200.0,36000
2431,Risk analysts,50200.0,36000
2431,Management consultants and business analysts not elsewhere classified,50200.0,36000
2432,Commercial managers,50100.0,39900
2432,Marketing managers,50100.0,39900
2432,Marketing and commercial managers not elsewhere classified,50100.0,39900
2433,Actuaries and actuarial analysts,55100.0,40700
2433,Economists,55100.0,40700
2433,Mathematicians,55100.0,40700
2433,Statistical data scientists,55100.0,40700
2433,Statisticians,55100.0,40700
2433,"Actuaries, economists and statisticians not elsewhere classified",55100.0,40700
2434,Intelligence analysts,38800.0,31500
2434,Researchers in media and entertainment,38800.0,31500
2434,Business and related research professionals not elsewhere classified,38800.0,31500
2435,Professional/chartered company secretaries,58200.0,38600
2439,Policy officers,56600.0,43200
2439,"Business, research and administrative professionals not elsewhere classified",56600.0,43200
2440,Business change managers,56500.0,43300
2440,Clinical trials coordinators,56500.0,43300
2440,Risk managers,56500.0,43300
2440,Business and financial project management professionals not elsewhere classified,56500.0,43300
2451,Architects,47600.0,37800
2451,Landscape architects and designers,47600.0,37800
2452,Chartered architectural technologists,35800.0,28200
2452,Town planning officers,35800.0,28200
2452,Urban designers,35800.0,28200
2452,"Chartered architectural technologists, planning officers and consultants not elsewhere classified",35800.0,28200
2453,Quantity surveyors,48600.0,38500
2454,Building control surveyors,43800.0,36000
2454,Hydrographic surveyors,43800.0,36000
2454,Land surveyors,43800.0,36000
2454,Property surveyors,43800.0,36000
2454,Chartered surveyors not elsewhere classified,43800.0,36000
2455,Construction project and contract managers,44300.0,36600
2455,Transport planners,44300.0,36600
2455,Construction project managers and related professionals not elsewhere classified,44300.0,36600
2462,Probation officers,35700.0,29400
2464,Youth work professionals,38000.0,34500
2469,Adoption officers,39700.0,33500
2469,Children and family services professionals,39700.0,33500
2469,Mediators and restorative practice professionals,39700.0,33500
2469,Welfare professionals not elsewhere classified,39700.0,33500
2471,Librarians,34800.0,26400
2472,Archivists,33400.0,29600
2472,Collection managers and curators,33400.0,29600
2472,Conservators,33400.0,29600
2472,Museum education officers,33400.0,29600
2472,Archivists and curators not elsewhere classified,33400.0,29600
2481,Garment technologists,41300.0,34100
2481,Planning engineers,41300.0,34100
2481,Quality control engineers,41300.0,34100
2481,Quality control and planning engineers not elsewhere classified,41300.0,34100
2482,Compliance and regulatory professionals,48200.0,38100
2482,Quality assurance professionals,48200.0,38100
2483,Environmental health professionals,40900.0,34100
2491,"Newspaper, periodical and broadcast editors",39600.0,32200
2492,Broadcast journalists,34000.0,25500
2492,Newspaper journalists and reporters,34000.0,25500
2492,Newspaper and periodical journalists and reporters not elsewhere classified,34000.0,25500
2493,Press officers,37000.0,30100
2493,Public relations officers,37000.0,30100
2493,Social media managers,37000.0,30100
2493,Public relations professionals not elsewhere classified,37000.0,30100
2494,Advertising account managers,46000.0,37200
2494,Creative directors,46000.0,37200
2494,Fundraising managers,46000.0,37200
3111,Biological laboratory technicians,33400.0,25000
3111,Chemical laboratory technicians,33400.0,25000
3111,Health physics monitors,33400.0,25000
3111,Laboratory food technicians,33400.0,25000
3111,Medical laboratory technicians,33400.0,25000
3111,Laboratory technicians not elsewhere classified,33400.0,25000
3112,Avionics technicians,39300.0,30800
3112,Electrical and electronics technicians not elsewhere classified,39300.0,30800
3113,Aerospace technicians,42500.0,34700
3113,Wind turbine technicians,42500.0,34700
3113,Engineering technicians not elsewhere classified,42500.0,34700
3114,Building technicians,33400.0,27900
3114,Civil engineering technicians,33400.0,27900
3114,Surveying technicians,33400.0,27900
3114,Building and civil engineering technicians not elsewhere classified,33400.0,27900
3115,Quality assurance technicians,33400.0,26500
3116,"Planning, process and production technicians",34800.0,28700
3119,School technicians,34600.0,28000
3119,Textile consultants,34600.0,28000
3119,"Science, engineering and production technicians not elsewhere classified",34600.0,28000
3120,Architectural technicians,33800.0,28700
3120,BIM and CAD technicians,33800.0,28700
3120,Cartographers,33800.0,28700
3120,"CAD, drawing and architectural technicians not elsewhere classified",33800.0,28700
3131,Games testers,35200.0,27700
3131,Network and systems administrators,35200.0,27700
3131,Quality assurance testers,35200.0,27700
3131,Software technicians,35200.0,27700
3131,IT operations technicians not elsewhere classified,35200.0,27700
3132,IT user support technicians,33400.0,27700
3133,Database administrators,34600.0,29200
3133,Web content technicians,34600.0,29200
3133,Database administrators and web content technicians not elsewhere classified,34600.0,29200
3211,Dispensing opticians,33400.0,25100
3212,Pharmaceutical technicians,33400.0,25000
3214,Alexander technique teachers,25000.0,25000
3214,Aromatherapists,25000.0,25000
3214,Homeopaths (excludes medically qualified),25000.0,25000
3214,Hospital play specialists,25000.0,25000
3214,Hypnotherapists,25000.0,25000
3214,Massage therapists,25000.0,25000
3214,Reflexologists,25000.0,25000
3214,Reiki healers,25000.0,25000
3214,Complementary health associate professionals not elsewhere classified,25000.0,25000
3221,Community workers,33400.0,26500
3221,Family support workers,33400.0,26500
3221,Youth workers (excludes youth work professionals),33400.0,26500
3221,Youth and community workers not elsewhere classified,33400.0,26500
3222,Child protection officers,33400.0,25400
3222,Learning and behaviour mentors,33400.0,25400
3222,Welfare and attendance officers,33400.0,25400
3222,Child and early years officers not elsewhere classified,33400.0,25400
3223,Housing officers,33400.0,27800
3224,Bereavement counsellors,33400.0,26200
3224,Debt advisers,33400.0,26200
3224,Life coaches,33400.0,26200
3224,Relationship counsellors,33400.0,26200
3224,Substance misuse workers,33400.0,26200
3224,Counsellors not elsewhere classified,33400.0,26200
3229,Advocates (excludes solicitor advocates),33400.0,25400
3229,Celebrants,33400.0,25400
3229,Charity workers,33400.0,25400
3229,Day care officers,33400.0,25400
3229,Health advisers,33400.0,25400
3229,Homelessness and housing advice support workers,33400.0,25400
3229,Mental health project workers,33400.0,25400
3229,Probation service workers,33400.0,25400
3229,Student support workers,33400.0,25400
3229,Victim support workers,33400.0,25400
3229,Welfare and housing associate professionals not elsewhere classified,33400.0,25400
3232,Early education and childcare practitioners,33400.0,25000
3240,Veterinary nurses,33400.0,25000
3312,Police constable,46900.0,36700
3312,Police sergeant,46900.0,36700
3312,Police officers (sergeant and below) not elsewhere classified,46900.0,36700
3313,Firefighters,42100.0,37600
3313,Fire service crew managers,42100.0,37600
